date,return
2020-01-01,0.00000000
2020-01-02,-0.03000000
2020-01-03,-0.00206186
2020-01-04,-0.00103306
2020-01-05,0.00103413
2020-01-06,-0.02995868
2020-01-07,-0.02342918
2020-01-08,0.00545256
2020-01-09,0.01301518
2020-01-10,0.04496788
2020-01-11,-0.00819672
2020-01-12,0.00929752
2020-01-13,0.00716479
2020-01-14,0.08943089
2020-01-15,0.03078358
2020-01-16,-0.01900452
2020-01-17,-0.03413284
2020-01-18,-0.02101242
2020-01-19,-0.00878049
2020-01-20,0.00393701
2020-01-21,-0.00784314
2020-01-22,-0.00790514
2020-01-23,-0.00697211
2020-01-24,0.00501505
2020-01-25,-0.01297405
2020-01-26,0.00202224
2020-01-27,0.01412714
2020-01-28,0.01691542
2020-01-29,0.01272016
2020-01-30,0.04251208
2020-01-31,-0.03336423
2020-02-01,0.00862895
2020-02-02,-0.00475285
2020-02-03,0.00573066
2020-02-04,-0.02849003
2020-02-05,0.00586510
2020-02-06,-0.00971817
2020-02-07,-0.01275761
2020-02-08,0.01292247
2020-02-09,0.02551521
2020-02-10,-0.01435407
2020-02-11,-0.02524272
2020-02-12,-0.00199203
2020-02-13,-0.02195609
2020-02-14,0.04285714
2020-02-15,0.00489237
2020-02-16,0.02434275
2020-02-17,-0.02091255
2020-02-18,0.02233010
2020-02-19,0.01519468
2020-02-20,0.01309635
2020-02-21,-0.03231764
2020-02-22,0.00190840
2020-02-23,-0.01333333
2020-02-24,-0.00193050
2020-02-25,-0.03578337
2020-02-26,0.01003009
2020-02-27,-0.00297915
2020-02-28,0.00199203
2020-02-29,0.00000000
2020-03-01,-0.01689861
2020-03-02,-0.00606673
2020-03-03,0.00406918
2020-03-04,0.00607903
2020-03-05,0.01409869
2020-03-06,-0.00993049
2020-03-07,0.00300903
2020-03-08,0.02200000
2020-03-09,-0.00097847
2020-03-10,0.01567091
2020-03-11,0.00385728
2020-03-12,0.06051873
2020-03-13,0.00543478
2020-03-14,-0.01621622
2020-03-15,-0.00457875
2020-03-16,0.00091996
2020-03-17,-0.02297794
2020-03-18,0.03386642
2020-03-19,-0.03730664
2020-03-20,0.00283554
2020-03-21,-0.00754006
2020-03-22,-0.00569801
2020-03-23,-0.00573066
2020-03-24,-0.01729107
2020-03-25,-0.00293255
2020-03-26,-0.00980392
2020-03-27,0.00198020
2020-03-28,-0.01679842
2020-03-29,-0.00100503
2020-03-30,-0.00402414
2020-03-31,-0.01515152
2020-04-01,-0.00410256
2020-04-02,0.00411946
2020-04-03,0.00205128
2020-04-04,-0.01432958
2020-04-05,-0.01142264
2020-04-06,-0.00945378
2020-04-07,-0.02757158
2020-04-08,0.00109051
2020-04-09,0.00000000
2020-04-10,0.00435730
2020-04-11,0.01084599
2020-04-12,0.00107296
2020-04-13,0.01178992
2020-04-14,-0.00317797
2020-04-15,-0.00637620
2020-04-16,-0.00213904
2020-04-17,0.00428725
2020-04-18,0.01494130
2020-04-19,0.01261830
2020-04-20,-0.00415369
2020-04-21,0.00521376
2020-04-22,0.00622407
2020-04-23,0.02268041
2020-04-24,-0.03125000
2020-04-25,-0.00416233
2020-04-26,0.00835946
2020-04-27,0.00207254
2020-04-28,-0.01034126
2020-04-29,0.02194357
2020-04-30,-0.02044990
2020-05-01,0.01565762
2020-05-02,0.01027749
2020-05-03,0.00508647
2020-05-04,0.00708502
2020-05-05,-0.00301508
2020-05-06,0.00604839
2020-05-07,0.01002004
2020-05-08,-0.02182540
2020-05-09,-0.00811359
2020-05-10,0.03885481
2020-05-11,-0.00196850
