date,return
2020-01-01,0.00000000
2020-01-02,0.00000000
2020-01-03,0.00000000
2020-01-04,0.00100000
2020-01-05,-0.00099900
2020-01-06,0.00000000
2020-01-07,-0.00100000
2020-01-08,-0.00100100
2020-01-09,0.00000000
2020-01-10,0.02304609
2020-01-11,0.00097943
2020-01-12,0.01076321
2020-01-13,-0.00387222
2020-01-14,0.08357629
2020-01-15,0.02331839
2020-01-16,-0.00525855
2020-01-17,0.03612335
2020-01-18,-0.00680272
2020-01-19,0.00000000
2020-01-20,0.00428082
2020-01-21,0.01278772
2020-01-22,-0.00505051
2020-01-23,-0.03130288
2020-01-24,0.00262009
2020-01-25,-0.00958188
2020-01-26,0.00879507
2020-01-27,0.00000000
2020-01-28,0.02005231
2020-01-29,0.00170940
2020-01-30,0.05204778
2020-01-31,-0.01946472
2020-02-01,0.01571547
2020-02-02,0.01384365
2020-02-03,0.00000000
2020-02-04,0.00000000
2020-02-05,0.00000000
2020-02-06,0.00000000
2020-02-07,0.00000000
2020-02-08,0.00000000
2020-02-09,0.00000000
2020-02-10,0.00000000
2020-02-11,0.00000000
2020-02-12,0.00000000
2020-02-13,0.00000000
2020-02-14,0.00000000
2020-02-15,0.00000000
2020-02-16,-0.00080321
2020-02-17,-0.02491961
2020-02-18,0.04863974
2020-02-19,-0.05974843
2020-02-20,-0.00836120
2020-02-21,-0.00590219
2020-02-22,-0.01357082
2020-02-23,0.01891660
2020-02-24,-0.00506329
2020-02-25,-0.06785411
2020-02-26,-0.05277525
2020-02-27,0.02113353
2020-02-28,-0.01034807
2020-02-29,-0.01330798
2020-03-01,-0.01830443
2020-03-02,0.04317959
2020-03-03,0.00470367
2020-03-04,0.03089888
2020-03-05,0.01998183
2020-03-06,-0.00534283
2020-03-07,-0.02327663
2020-03-08,-0.07882676
2020-03-09,-0.01194030
2020-03-10,0.00302115
2020-03-11,-0.01807229
2020-03-12,-0.24028630
2020-03-13,0.00000000
2020-03-14,0.00000000
2020-03-15,0.00000000
2020-03-16,0.00000000
2020-03-17,0.00000000
2020-03-18,0.00000000
2020-03-19,0.00000000
2020-03-20,0.00000000
2020-03-21,0.00000000
2020-03-22,0.00000000
2020-03-23,0.00000000
2020-03-24,0.00000000
2020-03-25,0.00000000
2020-03-26,0.00000000
2020-03-27,0.00000000
2020-03-28,0.00000000
2020-03-29,0.00000000
2020-03-30,0.00000000
2020-03-31,0.00000000
2020-04-01,0.00000000
2020-04-02,0.00000000
2020-04-03,0.00000000
2020-04-04,0.00000000
2020-04-05,0.00000000
2020-04-06,0.00000000
2020-04-07,0.00000000
2020-04-08,0.00000000
2020-04-09,-0.00134590
2020-04-10,-0.01212938
2020-04-11,0.00000000
2020-04-12,0.00000000
2020-04-13,0.00000000
2020-04-14,0.00000000
2020-04-15,0.00000000
2020-04-16,0.00000000
2020-04-17,0.00000000
2020-04-18,0.00000000
2020-04-19,0.00000000
2020-04-20,0.00000000
2020-04-21,0.00136426
2020-04-22,0.00681199
2020-04-23,0.00811908
2020-04-24,0.00268456
2020-04-25,0.00000000
2020-04-26,0.00000000
2020-04-27,0.00000000
2020-04-28,0.00000000
2020-04-29,0.00000000
2020-04-30,0.00000000
2020-05-01,0.00000000
2020-05-02,0.00000000
2020-05-03,0.00000000
2020-05-04,0.00000000
2020-05-05,-0.00133869
2020-05-06,-0.00402145
2020-05-07,0.01749664
2020-05-08,0.01851852
2020-05-09,-0.01168831
2020-05-10,-0.04204993
2020-05-11,0.00000000
2020-05-12,0.00960219
2020-05-13,0.00543478
2020-05-14,0.00810811
2020-05-15,-0.02010724
2020-05-16,0.00000000
2020-05-17,0.00410397
2020-05-18,0.00408719
2020-05-19,0.01221167
2020-05-20,0.00402145
2020-05-21,-0.02937250
2020-05-22,0.02751032
2020-05-23,-0.01740295
2020-05-24,-0.03269755
2020-05-25,0.03802817
2020-05-26,-0.00678426
2020-05-27,0.00683060
2020-05-28,0.04341927
2020-05-29,-0.00390117
2020-05-30,0.05091384
2020-05-31,-0.03105590
2020-06-01,0.06025641
2020-06-02,-0.02297461
2020-06-03,0.01980198
2020-06-04,0.00728155
2020-06-05,-0.01084337
2020-06-06,0.00243605
2020-06-07,-0.00243013
2020-06-08,0.01827040
2020-06-09,0.00358852
2020-06-10,0.02264601
2020-06-11,-0.09557110
2020-06-12,0.05927835
2020-06-13,0.01824818
2020-06-14,-0.03345281
2020-06-15,-0.00865266
2020-06-16,0.05112219
2020-06-17,-0.00474496
2020-06-18,-0.00953516
2020-06-19,-0.01323706
2020-06-20,0.02804878
2020-06-21,0.00000000
2020-06-22,0.03440095
2020-06-23,0.00573394
2020-06-24,-0.03648803
2020-06-25,0.00473373
2020-06-26,-0.00353357
2020-06-27,-0.03664303
2020-06-28,0.00245399
2020-06-29,0.00979192
2020-06-30,-0.02060606
2020-07-01,0.03465347
2020-07-02,-0.00358852
2020-07-03,0.01920768
2020-07-04,0.04122497
2020-07-05,0.01583710
2020-07-06,0.01559020
2020-07-07,0.05153509
2020-07-08,0.09697602
2020-07-09,-0.00095057
2020-07-10,-0.00856327
2020-07-11,0.01631478
2020-07-12,0.01038716
2020-07-13,-0.00373832
2020-07-14,0.01688555
2020-07-15,0.00645756
2020-07-16,0.00091659
2020-07-17,0.00641026
2020-07-18,-0.00181984
2020-07-19,0.00000000
2020-07-20,-0.02825889
2020-07-21,0.01407129
2020-07-22,0.01665125
2020-07-23,-0.00272975
2020-07-24,-0.01277372
2020-07-25,0.02865065
2020-07-26,0.00449236
2020-07-27,0.04114490
2020-07-28,0.02663230
2020-07-29,0.00167364
2020-07-30,0.01253133
2020-07-31,0.02310231
2020-08-01,0.07338710
2020-08-02,-0.05860255
2020-08-03,0.03910615
2020-08-04,0.00614439
2020-08-05,0.03206107
2020-08-06,0.01183432
