date,1INCH,AAVE,ADA,ALCH,ALGO,ANKR,APE,APT,AR,ARB,ASTER,ATOM,AVAX,AXS,BAND,BAT,BCH,BLUR,BNB,BNT,BONK,BSV,BTC,CAKE,CELO,CFX,CHZ,COMP,CRV,CVC,DASH,DOGE,DOT,EGLD,ENA,ENJ,ENS,EOS,ETC,ETH,ETHW,FARTCOIN,FET,FIL,FLOKI,FLOW,GALA,GMT,GRT,HBAR,HOT,HYPE,ICP,ICX,IMX,INJ,IOST,IOTA,IP,JASMY,JST,JUP,KAS,KAVA,KSM,LAYER,LDO,LINK,LRC,LTC,LUNC,MANA,MASK,MEMEFI,MINA,MKR,MORPHO,NEAR,NEO,NOT,OGN,OM,ONDO,ONE,ONT,OP,ORDI,PENGU,PEPE,POL,PUMP,QNT,QTUM,RENDER,RSR,RUNE,RVN,S,SAND,SEI,SHIB,SNX,SOL,STORJ,STX,SUI,SUSHI,SXP,T,TAO,THETA,TIA,TON,TRB,TRUMP,TRX,TWT,UMA,UNI,VET,VIC,WIF,WLD,WLFI,XCN,XLM,XMR,XRP,XTZ,YFI,ZEC,ZIL,ZRO,ZRX
2020-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-15,,213.46553040,-218.30818176,,-156.80055237,,,,,,,-243.96348572,-190.13648987,,-147.22016907,99.93283844,-232.27210999,,-184.41125488,,,,-258.93765259,,,,,146.77680969,-102.46078491,,-39.17889786,-31.67061806,-160.56893921,-266.51925659,,42.17240906,,-196.16838074,-215.36901855,-240.73867798,,,,-269.16680908,,,,,,,,,,-126.98566437,,,172.06300354,-218.66224670,,,,,,-53.97207260,65.54210663,,,-210.41108704,,-170.45745850,,,,,,-74.91329956,,229.36236572,-233.12593079,,,,,,-180.90312195,,,,,,,,-2.34132862,,,223.66590881,,,,,,90.86151886,60.74856567,-102.99940491,,,77.77977753,31.61989212,,,-156.75140381,,,114.58927155,,-12.85922146,,,249.91279602,-161.47808838,,,,,,-194.84962463,-182.66444397,-154.66033936,-113.17887878,173.56697083,-135.01779175,-113.45373535,,-8.41945076
2020-11-16,,188.27082825,-228.90762329,,-134.89039612,,,,,,,-189.39665222,-210.33105469,,-147.49789429,77.46631622,-194.56295776,,-133.81764221,,,,-210.13487244,,,,,136.96128845,-92.17629242,,-72.68773651,-67.25141907,-166.38566589,-236.92155457,,18.50806236,,-189.17634583,-235.52580261,-164.79388428,,,,-248.93458557,,,,,,,,,,-174.09414673,,,26.73293877,-199.40184021,,,,,,-57.46473312,64.03134918,,,-175.32846069,,-141.83451843,,,,,,-104.57065582,,169.63739014,-201.52758789,,,,,,-179.63800049,,,,,,,,-57.81693268,,,203.31143188,,,,,,-7.17481995,47.29102707,-111.55767059,,,218.19132996,27.41645432,,,-203.60896301,,,90.08056641,,-39.08037567,,,249.00358582,-127.51789856,,,,,,-178.13934326,-273.98355103,-111.70879364,-89.65541840,179.70545959,-147.57470703,-238.24240112,,-55.50534821
2020-11-17,,174.92440796,-253.06935120,,-59.40597153,,,,,,,-162.84091187,-269.54684448,,-209.15356445,62.55769730,-147.57151794,,-112.22937775,,,,-138.64581299,,,,,154.52952576,-66.13972473,,-48.53210449,-96.80261230,-180.48880005,-278.84603882,,-33.64779663,,-152.02752686,-114.29051971,-155.51406860,,,,-210.07183838,,,,,,,,,,-210.06629944,,,-105.83800507,-187.72434998,,,,,,-52.83434677,68.00595856,,,-158.40664673,,-69.41994476,,,,,,-104.14889526,,107.66937256,-132.56253052,,,,,,-149.27180481,,,,,,,,-35.03134918,,,177.09872437,,,,,,-52.18843842,16.55603600,-211.71406555,,,278.15917969,33.67266083,,,-211.10101318,,,118.42476654,,-94.03428650,,,228.68283081,-95.77466583,,,,,,-127.70764160,-163.39884949,-48.45895767,-47.34685135,156.55541992,-148.91055298,-193.76293945,,-74.27057648
2020-11-18,,159.82089233,-198.88706970,,-42.05951691,,,,,,,-162.57301331,-284.18395996,,-170.40121460,30.29975891,-129.62078857,,-127.13759613,,,,-115.76988983,,,,,154.13970947,-73.06362152,,-51.05577469,-120.48950195,-135.70921326,-315.95895386,,-51.96641922,,-158.43281555,-77.75018311,-144.13119507,,,,-201.47581482,,,,,,,,,,-182.04206848,,,-230.65217590,-171.09051514,,,,,,-50.15373611,52.50300980,,,-130.28314209,-187.39173889,-33.49192047,,,,,,-168.83337402,,38.49107742,-156.72837830,,,,,,-141.11486816,,,,,,,,-50.25882339,,-44.06478500,152.94253540,,,,,,-15.56162262,-46.20845032,-182.88433838,,,266.03747559,1.09004581,,,-179.15321350,,,96.03623962,,-114.57339478,,,172.63009644,-129.08662415,,,,,,-116.30802917,-44.88452148,-8.97610950,-34.40392303,151.58966064,-149.43046570,-137.51296997,,-81.93668365
2020-11-19,,139.32795715,-163.65437317,,14.55271149,,,,,,,-164.15046692,-214.18562317,,-134.35591125,57.83917618,-127.86225128,,-129.35926819,,,,-132.02435303,,,,,158.72282410,-83.77523804,,-30.19183159,-118.00571442,-130.52503967,-278.38485718,,-59.56880569,,-116.66661835,-2.98225093,-125.63445282,,,,-172.99835205,,,,,,,,,,-171.81695557,,,-383.86444092,-181.10841370,,,,,,-52.55502319,55.78416443,,,-120.79627991,-157.01910400,-14.33996296,,,,,,-171.28857422,,-78.99053192,-159.37614441,,,,,,-212.96815491,,,,,,,,-63.52519989,,-75.32206726,130.86047363,,,,,,2.32564235,-99.84892273,-115.27530670,,,222.98216248,-8.35551834,,,-258.26773071,,,70.21627808,,-44.45117188,,,104.21708679,-172.80084229,,,,,,-141.59613037,-150.68725586,26.43509483,-8.32855320,152.51733398,-139.02172852,-81.42620850,,-104.27159119
2020-11-20,,113.39143372,-196.44042969,,31.31831741,,,,,,,-207.09422302,-255.50331116,,-161.71520996,-8.26136208,-120.08982849,,-136.76800537,,,,-132.64349365,,,,,132.14721680,-67.64914703,,-60.38218689,-113.30879211,-115.10228729,-225.96081543,,-95.78956604,,-118.28994751,-86.31906128,-114.46752167,,,,-159.09109497,,,,,,,,,,-154.44374084,,,-255.10784912,-158.06579590,,,,,,-96.11983490,48.95659256,,,-113.66858673,-124.97760773,49.71901703,,,,,,-175.10818481,,-169.02085876,-173.06707764,,,,,,-281.13772583,,,,,,,,-60.26155090,,-112.98075867,102.29608154,,,,,,-17.58935165,-174.14173889,-130.61262512,,,308.32864380,-53.42494202,,,-311.07061768,,,35.47891998,,-110.26782990,,,89.99346161,-233.50624084,,,,,,-209.35372925,-313.38931274,50.19190598,-57.74444962,153.79335022,-145.58311462,-105.19364929,,-135.42222595
2020-11-21,,81.40528107,-159.67446899,,39.25648499,,,,,,,-208.37249756,-274.65295410,,-152.51268005,-33.54763031,-98.86898804,,-115.12287140,,,,-132.85083008,,,,,125.47053528,-99.78666687,,-94.04884338,-69.10200500,-88.91143036,-232.96611023,,-93.43735504,,-166.66819763,-151.05783081,-95.88831329,,,,-148.38835144,,,,,,,,,,-135.71865845,,,-280.53405762,-92.28162384,,,,,,-115.02082825,62.42227173,,,-119.99081421,-133.41168213,72.21200562,,,,,,-198.27490234,,-166.93391418,-222.88159180,,,,,,-256.24810791,,,,,,,,-75.16130829,,-124.03309631,60.28506088,,,,,,0.59748220,-238.50230408,-88.65707397,,,273.35577393,-54.09789276,,,-261.09124756,,,-60.65214920,,-145.90492249,,,77.16896820,-233.46240234,,,,,,-189.67713928,-339.09268188,97.45978546,-62.85105515,140.54826355,-134.50025940,-78.15570068,,-176.18182373
2020-11-22,,59.53043365,-131.08885193,,44.25727844,,,,,,,-182.75019836,-262.29830933,,-144.06114197,-40.32577896,-84.28486633,,-144.10211182,,,,-166.12054443,,,,,121.37334442,-128.27870178,,-91.82291412,-51.00543976,-83.26419830,-235.31118774,,-90.58862305,,-178.69802856,-222.08168030,-104.17427826,,,,-158.96327209,,,,,,,,,,-110.86811829,,,-245.18159485,-75.47388458,,,,,,-80.50868988,47.26158905,,,-129.43249512,-107.77830505,54.90689850,,,,,,-195.59071350,,-126.11810303,-224.43135071,,,,,,-218.07406616,,,,,,,,-94.16914368,,-118.06022644,23.91399574,,,,,,47.94945908,-234.26942444,-56.25618744,,,323.21829224,-65.84535980,,,-230.38668823,,,-81.99520111,,-130.52575684,,,-49.48032379,-198.94702148,,,,,,-161.58769226,-375.74264526,183.04284668,-105.48123169,129.69065857,-111.14251709,-101.50849152,,-146.02125549
