date,1INCH,AAVE,ADA,ALCH,ALGO,ANKR,APE,APT,AR,ARB,ASTER,ATOM,AVAX,AXS,BAND,BAT,BCH,BLUR,BNB,BNT,BONK,BSV,BTC,CAKE,CELO,CFX,CHZ,COMP,CRV,CVC,DASH,DOGE,DOT,EGLD,ENA,ENJ,ENS,EOS,ETC,ETH,ETHW,FARTCOIN,FET,FIL,FLOKI,FLOW,GALA,GMT,GRT,HBAR,HOT,HYPE,ICP,ICX,IMX,INJ,IOST,IOTA,IP,JASMY,JST,JUP,KAS,KAVA,KSM,LAYER,LDO,LINK,LRC,LTC,LUNC,MANA,MASK,MEMEFI,MINA,MKR,MORPHO,NEAR,NEO,NOT,OGN,OM,ONDO,ONE,ONT,OP,ORDI,PENGU,PEPE,POL,PUMP,QNT,QTUM,RENDER,RSR,RUNE,RVN,S,SAND,SEI,SHIB,SNX,SOL,STORJ,STX,SUI,SUSHI,SXP,T,TAO,THETA,TIA,TON,TRB,TRUMP,TRX,TWT,UMA,UNI,VET,VIC,WIF,WLD,WLFI,XCN,XLM,XMR,XRP,XTZ,YFI,ZEC,ZIL,ZRO,ZRX
2022-01-26,34.36913681,82.01646423,154.70069885,,75.08708191,99.64447021,,,47.20806122,,,173.95925903,34.02314758,23.74677277,3.45175505,12.75452232,15.32094193,,70.42874908,,,,58.90716553,,41.05464172,,87.44625092,5.45464087,-38.76261902,,49.08153152,66.53287506,2.89807892,51.33593750,,22.59070969,5.03276825,-15.63136101,43.61803818,51.85574341,,,,9.47340012,,,26.17725182,,98.74092102,103.84567261,71.77961731,,127.08000183,-12.38714027,,,39.30879593,55.45396042,,,,,,139.43208313,7.22157478,,,19.74928665,-45.79690170,81.34368134,,30.37168312,104.28993988,,,46.07472229,,113.88459015,98.97771454,,44.95336151,,,87.59371948,22.12557411,,,,,,,,-44.46842194,,33.92158508,31.70427132,-37.37137604,,-30.70598030,,61.76011658,112.08448792,-12.84087753,-6.63720703,,,-4.54169035,83.95452118,,,76.86814880,,,26.66495514,,88.67146301,,,63.37340546,94.02674103,,,,,,-89.11859894,-127.60477448,41.54071045,32.98045349,138.03233337,69.90921021,74.18494415,,84.13362122
2022-01-27,37.62530518,76.96147919,140.77334595,,73.44997406,121.87756348,,,62.41687012,,,167.45452881,47.27545929,29.87874985,31.30295563,32.75816727,17.76606941,,58.24675751,,,,74.22806549,,45.45146561,,96.81796265,22.67916298,-39.94585419,,56.06388855,73.60095978,-5.65474224,82.48674774,,35.32340240,18.38724709,-21.51620102,49.91380310,66.21196747,,,,19.03731918,,,70.04224396,,115.29786682,118.42084503,76.95796967,,140.75071716,1.85091782,,,48.10247040,64.41146088,,,,,,126.69217682,9.38266563,,,9.42511749,21.64508820,72.75491333,,36.86299896,116.05068207,,,33.74493027,,95.97346497,115.20475006,,52.10068130,,,76.68756104,57.86502457,,,,,,,,-13.42089844,,45.75078201,43.84683990,-18.05278206,,-21.75259781,,77.88894653,137.71139526,9.37726212,13.98802948,,,9.13437366,105.31996918,,,82.97180176,,,32.66069794,,83.04145050,,,44.51707840,101.16759491,,,,,,-54.52228546,-165.13061523,49.66178894,44.35929871,139.63873291,80.89352417,93.73491669,,92.90484619
2022-01-28,47.05739212,79.52700806,122.69158173,,95.14762115,149.99595642,,,69.93028259,,,165.82389832,66.85997772,35.38102722,80.44265747,63.13334656,27.12942886,,76.82289124,,,,99.53415680,,60.22719574,,118.14169312,42.04350281,-21.79870224,,53.46483612,83.31775665,10.06585026,106.40426636,,64.48245239,45.41014481,-3.14367533,67.74298096,83.89028168,,,,37.26353073,,,98.49792480,,154.83447266,127.53538513,92.13761902,,149.82083130,25.65908623,,,69.54473877,72.89514160,,,,,,118.94741821,33.59306335,,,22.79691696,57.69786835,56.65406418,,67.77933502,124.99043274,,,63.61614227,,78.45005798,156.56964111,,69.34454346,,,73.96527863,94.85110474,,,,,,,,13.76325512,,67.89376831,62.56890106,0.04255740,,10.21082020,,104.50379944,168.21209717,30.05378532,30.86475563,,,29.02144623,129.15008545,,,121.76644897,,,63.46694565,,75.28854370,,,54.72957993,131.19268799,,,,,,-26.94319725,-181.87295532,61.27463150,75.74620819,152.00108337,74.85124207,113.77534485,,124.38829041
2022-01-29,61.30067825,82.02059937,113.16348267,,111.18036652,161.84727478,,,95.43634033,,,165.55957031,88.89482880,42.90089417,109.43849945,98.56937408,43.85818863,,90.92562866,,,,121.66590881,,75.18103027,,130.81398010,59.09864807,-12.17290974,,76.46147919,96.03159332,32.34458542,124.94264221,,92.71868134,70.63429260,8.98820591,57.19247055,117.78915405,,,,53.98929977,,,126.57488251,,191.88345337,134.02398682,105.10354614,,159.50531006,49.98690796,,,88.46965027,85.72416687,,,,,,115.83314514,68.06785583,,,45.35760498,91.51544189,69.59182739,,97.37954712,143.28369141,,,104.04457855,,70.53049469,147.96798706,,95.15782166,,,72.26266479,121.82032776,,,,,,,,33.25691223,,97.95459747,77.32768250,37.88642883,,53.78242874,,130.79016113,195.48269653,56.76022339,42.51533508,,,48.32633972,151.01181030,,,121.50142670,,,102.16828156,,82.60125732,,,58.01412582,164.50746155,,,,,,-2.79441500,-155.31416321,74.09058380,96.19194031,146.34832764,93.53315735,148.05520630,,152.22618103
2022-01-30,78.71496582,94.45064545,113.00502014,,120.89393616,180.40751648,,,113.09810638,,,162.56205750,116.42344666,50.40598679,136.48217773,124.08055115,73.30391693,,96.60080719,,,,143.71226501,,82.79644012,,148.65277100,76.16074371,-0.28962284,,76.40711212,109.85673523,55.08026505,134.71374512,,119.81239319,93.76171875,30.35938263,75.96897125,148.86354065,,,,72.18003845,,,140.56388855,,212.64916992,135.93750000,118.92259216,,166.85049438,80.03384399,,,130.80751038,95.87390137,,,,,,118.40904236,85.31095886,,,70.78408051,105.81060028,87.63710022,,117.25357056,157.08732605,,,143.02503967,,68.36089325,162.40325928,,118.42269897,,,77.11548615,142.19181824,,,,,,,,53.36243820,,127.63082886,95.37473297,73.22315216,,100.09105682,,155.96081543,221.31716919,81.11416626,57.88740540,,,64.55316925,155.07824707,,,105.00033569,,,147.72587585,,77.89753723,,,60.86321259,173.26855469,,,,,,12.92858124,-130.10345459,88.64451599,106.07447815,143.37127686,121.02535248,167.05743408,,183.02215576
2022-01-31,92.34805298,104.50212097,116.21927643,,133.03390503,216.80636597,,,140.64524841,,,149.99012756,138.26495361,70.97480774,118.40464783,151.20039368,110.65699768,,108.10501862,,,,170.81733704,,85.78977966,,159.63677979,93.78234863,27.87468719,,110.71259308,125.33578491,71.37493134,149.17388916,,152.27722168,124.52804565,64.14616394,99.58933258,196.41619873,,,,90.74305725,,,155.74639893,,230.57267761,137.38787842,127.20089722,,170.16165161,113.12429810,,,170.18901062,93.99852753,,,,,,131.72979736,96.43826294,,,105.73838806,131.78118896,107.63776398,,144.16595459,182.74023438,,,184.64672852,,64.79404449,173.96467590,,126.32027435,,,78.56143951,174.40383911,,,,,,,,87.82880402,,148.33380127,104.42699432,100.06005859,,143.07254028,,169.86352539,237.58409119,106.92049408,74.85432434,,,75.26854706,164.43321228,,,102.74540710,,,177.56697083,,91.33863831,,,56.64312744,178.87420654,,,,,,40.08973694,-105.69521332,106.25800323,128.14361572,152.87525940,141.89923096,186.63967896,,218.97830200
2022-02-01,103.63263702,116.90569305,121.49369049,,147.46807861,236.09884644,,,172.87698364,,,149.46272278,156.99383545,85.08480835,121.55484772,166.28625488,139.84332275,,128.47831726,,,,191.02207947,,89.36704254,,172.64115906,99.96413422,51.74383926,,115.53378296,139.31709290,99.95838165,158.48068237,,176.62947083,158.24374390,96.38713074,134.31629944,225.82254028,,,,112.79553223,,,161.73185730,,243.33276367,142.65773010,134.35235596,,168.55497742,134.04962158,,,196.68307495,97.12113190,,,,,,136.82696533,94.47499847,,,129.48254395,142.82244873,125.90383911,,177.95671082,200.40895081,,,210.15228271,,71.43494415,184.47975159,,142.07382202,,,78.94308472,189.46128845,,,,,,,,108.70802307,,152.04925537,120.10636139,106.67306519,,169.30767822,,178.10952759,250.85275269,131.65191650,86.54758453,,,88.53873444,178.39199829,,,123.72557068,,,195.80841064,,113.13546753,,,69.84619141,187.15426636,,,,,,71.61866760,-90.98175049,120.16224670,148.37380981,162.26806641,155.82582092,194.65284729,,224.03863525
2022-02-02,111.90657043,124.62067413,122.52256775,,149.62843323,254.07128906,,,182.34523010,,,148.87860107,165.86901855,87.72173309,120.17971802,175.00505066,150.33677673,,135.06549072,,,,200.43327332,,86.64359283,,174.86470032,103.55690002,80.14737701,,116.33810425,142.24867249,114.95446777,157.45565796,,181.53764343,178.11895752,110.25059509,150.58769226,245.31044006,,,,121.34750366,,,156.36180115,,250.62112427,142.31988525,132.15879822,,163.54959106,141.62670898,,,208.80393982,94.84431458,,,,,,135.44747925,88.11546326,,,140.94761658,135.34767151,131.31756592,,188.89994812,205.96073914,,,214.28387451,,73.90431976,187.49140930,,146.30688477,,,73.06771851,185.85511780,,,,,,,,117.42538452,,147.70974731,123.94725037,109.09127045,,176.14187622,,174.78982544,253.21174622,149.75640869,93.36834717,,,95.69421387,174.17582703,,,134.10809326,,,204.52894592,,124.54354095,,,69.21685791,184.90254211,,,,,,87.35939026,-82.73568726,126.37931061,174.19581604,166.43850708,158.24851990,189.50137329,,218.49899292
2022-02-03,116.12719727,124.01824188,119.30258179,,136.90277100,263.20828247,,,179.05676270,,,131.54200745,171.97737122,92.69248962,141.35916138,183.25379944,148.98611450,,136.80326843,,,,203.60133362,,78.04319000,,173.89851379,107.60053253,93.11698151,,110.10565948,141.22271729,115.00172424,146.89901733,,179.74217224,178.09777832,111.13009644,166.08186340,254.37855530,,,,124.26775360,,,144.21298218,,246.93205261,143.02650452,129.10812378,,177.09193420,145.18612671,,,205.18505859,95.01548767,,,,,,129.48068237,89.28529358,,,136.40576172,105.65798187,119.29139709,,193.85261536,202.28245544,,,226.34767151,,79.33017731,203.58084106,,149.55804443,,,58.27637482,173.45567322,,,,,,,,126.22478485,,140.67991638,135.34382629,120.45825195,,177.80271912,,166.98344421,255.18391418,161.93566895,94.82192230,,,88.59652710,166.99923706,,,136.04183960,,,201.24736023,,136.16494751,,,64.80004120,191.72454834,,,,,,83.93510437,-69.08187866,125.33733368,199.31784058,156.69343567,141.65618896,189.78578186,,212.53265381
2022-02-04,113.77578735,120.04582977,120.38327026,,134.27101135,269.37457275,,,169.35324097,,,124.77890015,184.14459229,91.06328583,156.90917969,183.19367981,148.23799133,,134.75447083,,,,200.40692139,,79.03925323,,175.10493469,112.39788818,95.84304810,,107.48577881,138.94396973,114.66282654,141.29771423,,178.63446045,180.03089905,118.66525269,182.62026978,256.95175171,,,,127.00797272,,,138.04824829,,241.83363342,155.63931274,123.22677612,,175.34051514,147.09451294,,,219.22502136,113.42733002,,,,,,131.14204407,88.00603485,,,137.45196533,89.11899567,114.38748932,,199.29411316,192.38061523,,,231.66452026,,80.82904816,210.47883606,,158.91694641,,,55.14738083,179.97277832,,,,,,,,136.08073425,,133.36776733,132.03952026,121.70052338,,188.65896606,,160.17218018,247.34437561,164.62901306,108.63612366,,,83.18613434,163.75796509,,,140.57688904,,,183.37361145,,150.82722473,,,53.22675323,192.42767334,,,,,,69.43892670,-66.83972168,121.99173737,216.79827881,153.26892090,132.05694580,188.49180603,,229.82229614
